Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
pagglait,"comedy, drama","comedy, drama",comedy,"movie title is pagglait. genre is comedy, drama. language is hindi.",https://m.media-amazon.com/images/M/MV5BMzgxY2UyZmYtZjljMi00NzZiLWE1NzItYjU3NGVkMWY2ZjdhXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.9,114,0.5365853658536586,Hindi,"March 26, 2021","Umesh Bist, Mukesh Kumar, Chaudhari Mitesh","Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives, and a startling discovery about her late husband."
seeing allred,documentary,documentary,documentary,movie title is seeing allred. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMjI4NTA3NDgyNV5BMl5BanBnXkFtZTgwNDA3NDg1NDM@._V1_SX300.jpg,2018.0,6.9,95,0.44390243902439025,English,"February 9, 2018","Roberta Grossman, Sophie Sartain",Women's rights attorney Gloria Allred takes on the biggest names in American culture as coverage of sexual assault allegations in the media become more prevalent.
spelling the dream,documentary,documentary,documentary,movie title is spelling the dream. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BN2M0MmQ0Y2MtZDhkYy00MjhjLTkyZDMtNDczYTQzNmE0N2QxXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.9,83,0.3853658536585366,English,"June 3, 2020",Sam Rega,Chronicle of the ups and downs of four Indian-American students as they compete to realize their dream of winning the iconic tournament.
the claudia kishi club,documentary,documentary,documentary,movie title is the claudia kishi club. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZjVhMzc3ZWEtNGFhOS00MDEwLWE3ZWQtYTgzODg4Y2M3ZDc3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.9,17,0.06341463414634146,English,"July 10, 2020",Sue Ding,Fans of the Babysitters Club books discuss the importance of the character of Claudia.
the half of it,romance,romance,romance,movie title is the half of it. genre is romance. language is english.,https://m.media-amazon.com/images/M/MV5BN2Y0NWUzNmEtMDM4My00ODQyLTg1NGItOGViYjg0MzNlYTQwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.9,105,0.4926829268292683,English,"May 1, 2020",Alice Wu,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush."
the highwaymen,crime drama,drama,drama,movie title is the highwaymen. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BYjIyNzBjNDktYjhlZS00MDk5LTg3OTctNDkwMTFlNmJhN2FlXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.9,131,0.6195121951219512,English,"March 29, 2019",John Lee Hancock,The untold true story of the legendary detectives who brought down Bonnie and Clyde.
feminists: what were they thinking?,documentary,documentary,documentary,movie title is feminists: what were they thinking?. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BOWM4MDFiMTgtMGQwNS00MTMyLWJkMmMtMTNjNGY5MWY1Njc1XkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.0,86,0.39999999999999997,English,"October 12, 2018",Johanna Demetrakas,Feminists: What Were They Thinking? takes aim at our current culture revealing all too vividly the urgent need for continued change.
gaga: five foot two,documentary,documentary,documentary,movie title is gaga: five foot two. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTUzNzAxNTM0MV5BMl5BanBnXkFtZTgwODE1NzMzMzI@._V1_SX300.jpg,2017.0,7.0,100,0.46829268292682924,English,"September 22, 2017",Chris Moukarbel,This documentary goes behind the scenes with pop provocateur Lady Gaga as she releases a bold new album and prepares for her Super Bowl halftime show.
kingdom of us,documentary,documentary,documentary,movie title is kingdom of us. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTAyNTYxMTEyMzVeQTJeQWpwZ15BbWU4MDIxNTI0NTMy._V1_SX300.jpg,2017.0,7.0,109,0.5121951219512195,English,"October 13, 2017",Lucy Cohen,A father's suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.
"lorena, light-footed woman",documentary,documentary,documentary,"movie title is lorena, light-footed woman. genre is documentary. language is spanish.",https://m.media-amazon.com/images/M/MV5BNzJiZjQzYTQtNWVkMi00MjJhLTgyNTktOTg1ZmU0NzU4ZTc2XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.0,28,0.11707317073170732,Spanish,"November 20, 2019",Juan Carlos Rulfo,"A young woman of the Tarahumara, well-known for their extraordinary long distance running abilities, wins ultramarathons seemingly out of nowhere despite running in sandals."
los tigres del norte at folsom prison,documentary,documentary,documentary,movie title is los tigres del norte at folsom prison. genre is documentary. language is spanish.,https://m.media-amazon.com/images/M/MV5BMjlhNzI2MmMtNGQ3Yi00ZTViLTg4YTUtODU3YWMwNTM1YWM3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.0,64,0.2926829268292683,Spanish,"September 15, 2019",Tom Donahue,The band Los Tigres del Norte visit both the male and female inmates of Folsom Prison. Inmates share their stories and how the music of Los Tigres del Norte speaks to them.
ma rainey's black bottom,drama,drama,drama,movie title is ma rainey's black bottom. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BOWIzMTAyZGMtZTIzZi00YTc4LTlmNGEtMzMxYTgzYWM5ODM3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.0,94,0.43902439024390244,English,"December 18, 2020",George C. Wolfe,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.
remastered: devil at the crossroads,documentary,documentary,documentary,movie title is remastered: devil at the crossroads. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMDQ4MGU5MjQtZTNhZi00NDBlLTk4MjctNDEyM2FiMGFjYjU3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.0,48,0.2146341463414634,English,"April 26, 2019",Brian Oakes,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi."
remastered: the lion's share,documentary,documentary,documentary,movie title is remastered: the lion's share. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BYWMxODI3MjgtOTY1NS00N2M5LTliYWMtZjEyODA5MzBmMGNhXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.0,84,0.39024390243902435,English,"May 17, 2019",Sam Cullman,"South African journalist Rian Malan searches for the original writers of the legendary song ""The Lion Sleeps Tonight."""
remastered: the miami showband massacre,documentary,documentary,documentary,movie title is remastered: the miami showband massacre. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BYzQwNWMxODUtYzZiMi00MjYyLTkxMzEtOTgzZjMzMzY5OGRiXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.0,70,0.32195121951219513,English,"March 22, 2019",Stuart Sender,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec..."
resurface,documentary,documentary,documentary,movie title is resurface. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BN2I3ZWYzMjAtZTU2Yy00MzNlLTg5OGQtYjdlMzFmNTBhMjFjXkEyXkFqcGc@._V1_SX300.jpg,2017.0,7.0,27,0.11219512195121951,English,"September 1, 2017","Joshua Izenberg, Wynn Padula","After years of nightmares, depression, and seizures, Iraq war veteran Bobby Lane could see no way out of his trauma other than suicide. Then he met Van Curaza, a former big wave surfer who since founded Operation Surf and dedicate..."
rocko's modern life: static cling,"animation, comedy","comedy, animation",comedy,"movie title is rocko's modern life: static cling. genre is comedy, animation. language is english.",https://m.media-amazon.com/images/M/MV5BZjBjY2QyNzYtMjVlOC00NWQwLWE2N2EtZDY1OGRmMmI1ZTA4XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.0,45,0.2,English,"August 9, 2019","Joe Murray, Cosmo Segurson, Mr. Lawrence","After being in space for 20 years, Rocko and his friends attempt to adjust to an even more modern life in the 21st century. However, when he learns that his favorite 90s cartoon isn't on the air anymore, Rocko tries locating its c..."
rose island,comedy,comedy,comedy,movie title is rose island. genre is comedy. language is italian.,https://m.media-amazon.com/images/M/MV5BMDhlODJjMTMtYTg1NS00ZjE1LTg4NGEtNmM2YWM5M2I4MjQ2XkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.0,117,0.5512195121951219,Italian,"December 9, 2020",Sydney Sibilia,"An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be..."
the christmas chronicles,"christmas, fantasy, adventure, comedy","comedy, family, fantasy, adventure",comedy,"movie title is the christmas chronicles. genre is comedy, family, fantasy, adventure. language is english.",https://m.media-amazon.com/images/M/MV5BNTA3NjU3OTM2MV5BMl5BanBnXkFtZTgwNjQ2MzE1NjM@._V1_SX300.jpg,2018.0,7.0,104,0.4878048780487805,English,"November 22, 2018",Clay Kaytis,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about."
the dirt,biopic,drama,drama,movie title is the dirt. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BZmRjZWUzMWEtNWNmNC00YjBlLTliOTUtY2I1Y2JkZjQ4NmViXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.0,108,0.5073170731707317,English,"March 22, 2019",Jeff Tremaine,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame."
the night comes for us,"action, thriller","thriller, action",thriller,"movie title is the night comes for us. genre is thriller, action. language is indonesian.",https://m.media-amazon.com/images/M/MV5BMWFmYmE4MmEtNjgxNy00NjE1LWFmNzItNGRiMDJjYmFmZDU2XkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.0,121,0.5707317073170731,Indonesian,"October 19, 2018",Timo Tjahjanto,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad."
angela's christmas,animation,animation,animation,movie title is angela's christmas. genre is animation. language is english.,https://m.media-amazon.com/images/M/MV5BNDQ1MTgyMWEtMGYzYi00MWU5LTlhYjQtYjA0MjQwMzY4M2FlXkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.1,30,0.12682926829268293,English,"November 30, 2018",Damien O'Connor,"Set in Ireland in the 1910s, 'Angela's Christmas' is a funny, heart-warming and poignant story about the power of family and the innocent desire of a child to ensure everyone is safe, warm and loved at Christmas time."
angela's christmas wish,animation,animation,animation,movie title is angela's christmas wish. genre is animation. language is english.,https://m.media-amazon.com/images/M/MV5BODJiODU0NzQtZjA2NC00NWQyLWE3MmYtOGI1MTRlNGZhODQ3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.1,47,0.20975609756097563,English,"December 1, 2020",Damien O'Connor,"A sequel to the much loved Angela's Christmas, Angela's Christmas Wish is a heart-warming tale of a determined little girl who sets out to reunite her family in time for Christmas."
beats,drama,drama,drama,movie title is beats. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMDZlYjg2MDQtNmQzYi00ZDFmLWJjY2MtNDA1MmZkZWEyMGI4XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.1,110,0.5170731707317073,English,"June 19, 2019",Chris Robinson,"A reclusive teenage musical prodigy forms an unlikely friendship with a down-on-his-luck high school security guard. United by their mutual love of hiphop, they confront the demons of their past and try to break into Chicago's mus..."
circus of books,documentary,documentary,documentary,movie title is circus of books. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BNjQ4MTZhNjMtZjE2My00ZjA5LTg5NjctYWQ1YjA4N2UxMTkwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.1,92,0.4292682926829268,English,"April 22, 2020",Rachel Mason,"In 1976, Karen and Barry Mason had fallen on hard times and were looking for a way to support their young family when they answered an ad in the Los Angeles Times. Larry Flynt was seeking distributors for Hustler Magazine. What wa..."
dance dreams: hot chocolate nutcracker,documentary,documentary,documentary,movie title is dance dreams: hot chocolate nutcracker. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BYzdhNmMzZjctOWQzYi00ZTVkLTkyMGMtMWViOTJkMzQwOTAyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.1,80,0.37073170731707317,English,"November 27, 2020",Oliver Bokelberg,"Behind-the-scenes at the Debbie Allen Dance Academy and their award-winning version of The Nutcracker, which blends a variety of dance traditions."
derren brown: sacrifice,mentalism special,other,other,movie title is derren brown: sacrifice. genre is other. language is english.,https://m.media-amazon.com/images/M/MV5BMjExMTQzMjQxMV5BMl5BanBnXkFtZTgwMTIzNzU1NjM@._V1_SX300.jpg,2018.0,7.1,49,0.21951219512195122,English,"October 19, 2018",,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger
el pepe: a supreme life,documentary,documentary,documentary,movie title is el pepe: a supreme life. genre is documentary. language is spanish.,https://m.media-amazon.com/images/M/MV5BNjhhODk3YjEtOGRiZS00MGMzLTlmNjktZjI4MWI0NTg2NmY0XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.1,73,0.3365853658536585,Spanish,"December 27, 2019",Emir Kusturica,"An examination of the life, times, and legacy of Uruguay's last president, José ""Pepe"" Mujica."
end game,documentary,documentary,documentary,movie title is end game. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BOGZlMmFhOTctYzJmZS00ZWI3LThkZjMtNWQ3YjAzOTUyNmI2XkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.1,40,0.175609756097561,English,"May 4, 2018",Andy Cheng,A secret Service agent and a news reporter investigate the conspiracy behind the assassination of the President.
evelyn,documentary,documentary,documentary,movie title is evelyn. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTYwNjUwNTkxOF5BMl5BanBnXkFtZTYwMzA1MDg5._V1_SX300.jpg,2019.0,7.1,96,0.448780487804878,English,"September 10, 2019",Bruce Beresford,"Desmond's wife leaves him and their 3 kids after Christmas 1953. As he's unemployed in Dublin, the authorities place the kids in orphanages; when he finds a job, he tries to get his kids back."
ferry,crime drama,drama,drama,movie title is ferry. genre is drama. language is dutch.,https://m.media-amazon.com/images/M/MV5BNDk3NmM2ODQtM2MxMi00YzUwLTg4ZTYtNGEwMzk3ZjNmOTlmXkEyXkFqcGc@._V1_SX300.jpg,2021.0,7.1,106,0.4975609756097561,Dutch,"May 14, 2021",Cecilia Verheyden,"Ruthless Ferry Bouman is sent to his native region of Brabant by his boss Brink to avenge an attack on their gang. When he meets lovely Danielle and old family feuds resurface, Brabant starts to pierce his steel armour."
grass is greener,documentary,documentary,documentary,movie title is grass is greener. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMjk4YTdiYjItYjU4Yi00ZGMzLTllYjktYTVlZGZmNjcyYzk0XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.1,97,0.4536585365853658,English,"April 20, 2019",Fab 5 Freddy,A look at America's complicated relationship with cannabis.
joshua: teenager vs. superpower,documentary,documentary,documentary,movie title is joshua: teenager vs. superpower. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMzhmMmU3NjAtM2YyZi00ZWEyLWI3NGItMjRmOGVlYWI2NDBjXkEyXkFqcGc@._V1_SX300.jpg,2017.0,7.1,78,0.36097560975609755,English,"May 26, 2017",Joe Piscatella,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leade..."
keith richards: under the influence,documentary,documentary,documentary,movie title is keith richards: under the influence. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTc2MDE0ODg3MV5BMl5BanBnXkFtZTgwOTAxOTU3NjE@._V1_SX300.jpg,2015.0,7.1,81,0.375609756097561,English,"September 18, 2015",Morgan Neville,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer."
knock down the house,documentary,documentary,documentary,movie title is knock down the house. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BNzZmZjhiMzItZDk5NC00Y2U3LTkzOGQtZjJjMWM2MmViZDBiXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.1,87,0.4048780487804878,English,"May 1, 2019",Rachel Lears,A look at the people involved with various political campaigns during the 2018 U.S. congressional election.
loudon wainwright iii: surviving twin,"one, man show",other,other,movie title is loudon wainwright iii: surviving twin. genre is other. language is english.,https://m.media-amazon.com/images/M/MV5BMTg1MTYxMTQzNV5BMl5BanBnXkFtZTgwNjg4NzY2NjM@._V1_SX300.jpg,2018.0,7.1,91,0.424390243902439,English,"November 13, 2018",Christopher Guest,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.
my beautiful broken brain,documentary,documentary,documentary,movie title is my beautiful broken brain. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTEzMDM3OTkxNzBeQTJeQWpwZ15BbWU4MDQ4MDg3NDQx._V1_SX300.jpg,2016.0,7.1,91,0.424390243902439,English,"March 18, 2016","Sophie Robinson, Lotje Sodderland","After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write."
one of us,documentary,documentary,documentary,movie title is one of us. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMjM4NzY5NzY2MF5BMl5BanBnXkFtZTgwNDQwOTY0MzI@._V1_SX300.jpg,2017.0,7.1,95,0.44390243902439025,English,"October 20, 2017","Heidi Ewing, Rachel Grady","Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation."
pieces of a woman,drama,drama,drama,movie title is pieces of a woman. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BYzY0Njg2OWMtYzA2My00NmJjLTk1ZDgtZDZhNTA4M2UzNDkwXkEyXkFqcGc@._V1_SX300.jpg,2021.0,7.1,126,0.5951219512195122,English,"January 7, 2021",Kornél Mundruczó,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss."
"ram dass, going home",documentary,documentary,documentary,"movie title is ram dass, going home. genre is documentary. language is english.",https://m.media-amazon.com/images/M/MV5BYWJiMWVmZTItMmFlMy00N2M3LWJiODUtZWVhNzUyYzQ0ZGQ0XkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.1,31,0.13170731707317074,English,"April 6, 2018",Derek Peck,"A profound and poetic encounter with cultural and spiritual icon Ram Dass, at his home on Maui toward the end of his life."
rooting for roona,documentary,documentary,documentary,movie title is rooting for roona. genre is documentary. language is bengali.,https://m.media-amazon.com/images/M/MV5BOTE4M2NlMzQtZjk0Ni00ODMxLWE4YWItYThkMGQxMjU0NDUzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.1,41,0.1804878048780488,Bengali,"October 15, 2020","Pavitra Chalam, Akshay Shankar",A little girl named Roona Begum is born in the North East of India with an unprecedented head size caused by a birth defect. This is the story of one family and how they raise a child against insurmountable odds.
the devil all the time,psychological thriller,thriller,thriller,movie title is the devil all the time. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BYmExOWUxZDMtZmM1ZS00NjQ4LWEwODAtY2E0N2Y1Y2MzZTkwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.1,138,0.6536585365853659,English,"September 16, 2020",Antonio Campos,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
the dig,drama,drama,drama,movie title is the dig. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BZGEzZjNkMTgtOTZiYy00OWZmLWE1MjMtODllMzJkNzQ4M2FlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,7.1,112,0.526829268292683,English,"January 29, 2021",Simon Stone,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.
the great hack,documentary,documentary,documentary,movie title is the great hack. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZDhmODFlMTQtYzU0YS00YTg4LWEyMTctZmRkZWYxMzgxMDFhXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.1,114,0.5365853658536586,English,"July 24, 2019","Karim Amer, Jehane Noujaim",The Cambridge Analytica scandal is examined through the roles of several affected persons.
the white tiger,drama,drama,drama,movie title is the white tiger. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BOWUyNDEyMDgtM2IwNy00MTllLWJiMzUtODQ2ODcxZjk4N2ExXkEyXkFqcGc@._V1_SX300.jpg,2021.0,7.1,125,0.5902439024390244,English,"January 22, 2021",Ramin Bahrani,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.
to all the boys i've loved before,romantic comedy,"comedy, romance",comedy,"movie title is to all the boys i've loved before. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BMjQ3NjM5MTAzN15BMl5BanBnXkFtZTgwODQzMDAwNjM@._V1_SX300.jpg,2018.0,7.1,99,0.46341463414634143,English,"August 17, 2018",Susan Johnson,A teenage girl's secret love letters are exposed and wreak havoc on her love life.
american murder: the family next door,documentary,documentary,documentary,movie title is american murder: the family next door. genre is documentary. language is english.,"https://m.media-amazon.com/images/M/MV5BNDM3OTlhM2EtNjQ3Ni00MmM1LTgzZDgtMGYxNGM4NjdmNDgxXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg",2020.0,7.2,82,0.3804878048780488,English,"September 30, 2020",Jenny Popplewell,"In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world."
audrie & daisy,documentary,documentary,documentary,movie title is audrie & daisy. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BNzM3NDkyMjU1NV5BMl5BanBnXkFtZTgwNjQwNDc4OTE@._V1_SX300.jpg,2016.0,7.2,98,0.4585365853658536,English,"September 23, 2016","Bonni Cohen, Jon Shenk",A look at the effects that online bullying has on the lives of teenagers and their community.
first they killed my father,drama,drama,drama,movie title is first they killed my father. genre is drama. language is khmer/english/french.,https://m.media-amazon.com/images/M/MV5BMTgzOTQ1NDUwOF5BMl5BanBnXkFtZTgwNjAwNTkwMzI@._V1_SX300.jpg,2017.0,7.2,136,0.6439024390243903,Khmer,"September 15, 2017",Angelina Jolie,Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.
into the inferno,documentary,documentary,documentary,movie title is into the inferno. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTAyNzYyNjg1NzJeQTJeQWpwZ15BbWU4MDY4NzE1MzAy._V1_SX300.jpg,2016.0,7.2,107,0.5024390243902439,English,"October 28, 2016",Werner Herzog,An exploration of active volcanoes around the world.
la originals,documentary,documentary,documentary,movie title is la originals. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZDA1MTNlNGEtODI4NC00NjAxLWJiYWMtNTRhZWJhODRiZThjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,7.2,92,0.4292682926829268,English,"April 10, 2020",Estevan Oriol,"Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond."
ladies first,documentary,documentary,documentary,movie title is ladies first. genre is documentary. language is english/hindi.,https://m.media-amazon.com/images/M/MV5BYjQxMDA3ZGMtZGFiNy00MzM1LWI1OTMtM2RhZDk4OWJkNGEwXkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.2,39,0.17073170731707318,English,"March 8, 2018",Thea Sharrock,"A male chauvinist is transported to a matriarchal society, facing challenges from a formidable female version of himself."
love per square foot,romantic comedy,"comedy, romance",comedy,"movie title is love per square foot. genre is comedy, romance. language is hindi.",https://m.media-amazon.com/images/M/MV5BNzc1NDdmYTctMzI5Mi00MjNmLTg4MzQtM2NiNjlkNjA3MWFiXkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.2,133,0.6292682926829268,Hindi,"February 14, 2018",Anand Tiwari,"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience."
paddleton,"drama, comedy","comedy, drama",comedy,"movie title is paddleton. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BY2I0ODk3NjgtMmEwYi00MzQxLThlMWUtZWViZmRjMTkwMjFlXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.2,89,0.4146341463414634,English,"February 22, 2019",Alex Lehmann,An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.
private life,drama,drama,drama,movie title is private life. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMDBlOWZmZDItYjNlZi00ZDk3LTgyZGQtYzJhNjJhZDk3MTcyXkEyXkFqcGc@._V1_SX300.jpg,2018.0,7.2,124,0.5853658536585366,English,"October 5, 2018",Tamara Jenkins,"An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge."
seventeen,"coming, of, age comedy, drama","comedy, drama",comedy,"movie title is seventeen. genre is comedy, drama. language is spanish.",https://m.media-amazon.com/images/M/MV5BMjcwOTUwNDYtYzdjYS00NWE2LWJmNmEtN2U0YTBmODlkMTJiXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.2,99,0.46341463414634143,Spanish,"October 18, 2019",Daniel Sánchez Arévalo,"To find a shelter dog he befriended, a 17-year-old boy escapes a juvenile detention center and is joined on his quest by his older brother."
the disciple,drama,drama,drama,movie title is the disciple. genre is drama. language is marathi.,https://m.media-amazon.com/images/M/MV5BOWMxMjQ4YTAtNWI1OS00MTIzLWJjNTItNGY1ZmNhYzlkMTdkXkEyXkFqcGc@._V1_SX300.jpg,2021.0,7.2,129,0.6097560975609756,Marathi,"April 30, 2021",Chaitanya Tamhane,"Self-doubt, sacrifice and struggle converge into an existential crisis for a devoted classical vocalist as the mastery he strives for remains elusive."
the edge of democracy,documentary,documentary,documentary,movie title is the edge of democracy. genre is documentary. language is portuguese.,https://m.media-amazon.com/images/M/MV5BMzA1NWFiZGUtZjQ4Ni00NmE1LThjMzAtMjA0YzE1MzM2ODlmXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.2,121,0.5707317073170731,Portuguese,"June 19, 2019",Petra Costa,An exploration into the complex truth behind the unraveling of two Brazilian presidencies.
the king,historical drama,drama,drama,movie title is the king. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BOTFhZTY4YWUtMmJjMy00OTE0LTlmZjctMDg5MTk4N2ZjZWNjXkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.2,140,0.6634146341463415,English,"November 1, 2019",David Michôd,"Young Henry V encounters deceit, war and treachery after becoming King of England in the 15th century, in the aftermath of his brother's death."
the siege of jadotville,war,war,war,movie title is the siege of jadotville. genre is war. language is english.,https://m.media-amazon.com/images/M/MV5BNjJhZGY0NTUtOTI0Yi00NGY5LTk4ZWYtYmVmNGFiMTZiZTgwXkEyXkFqcGc@._V1_SX300.jpg,2016.0,7.2,108,0.5073170731707317,English,"October 7, 2016",Richie Smyth,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.
dolemite is my name,biopic,drama,drama,movie title is dolemite is my name. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BOTYyNGU3MDctZWU1NS00N2Y5LWE2MDUtOWFlMmVmM2IzNDQ5XkEyXkFqcGc@._V1_SX300.jpg,2019.0,7.3,118,0.5560975609756097,English,"October 25, 2019",Craig Brewer,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon."
